C_ng_mL,delta_plus_day
0.1,0.5853658536585367
0.10595601792776159,0.6193306550686529
0.11226677735108136,0.65521105567999
0.11895340673703195,0.6931085350514702
0.12603829296797275,0.7331291705136935
0.13354515629298988,0.7753837516815982
0.1414991297434576,0.8199878854141748
0.14992684327860456,0.8670620891822169
0.15885651294280528,0.9167318705904481
0.16831803533309567,0.9691277905745221
0.17834308769319093,1.0243855075576485
0.18896523396912096,1.082645799607592
0.20022003718155845,1.1440545613848017
0.21214517849106299,1.2087627724193157
0.22478058335487253,1.2769264330014067
0.23816855519761582,1.3487064637230441
0.2523539170434766,1.4242685644694224
0.26738416158399464,1.5037830284381724
0.2833096101839324,1.5874245065657064
0.3001835813575589,1.6753717175737406
0.318062569279412,1.7678070987238492
0.3370064329271929,1.8649163922945022
0.35707859649004636,1.9668881627852202
0.378346261713193,2.07391323991895
0.40088063288984654,2.1861840826704224
0.42475715525368996,2.3038940598095
0.4500557675700499,2.4272366428295933
0.47686116977144705,2.5564045076472635
0.5052631065335681,2.6915885421253107
0.5353566677410726,2.83297675730214
0.5672426068491979,2.9807531012180046
0.6010276782070383,3.135096175424449
0.6368249944718588,3.2961778556547525
0.6747544053110694,3.4641618197241044
0.7149428986597579,3.639201987517516
0.7575250258771914,3.8214408799038235
0.8026433522257176,4.011007905571388
0.8504489341802679,4.208017587092869
0.9011018251665021,4.412567739961482
0.9547716114208059,4.624737620858469
1.0116379797662076,4.844586063960191
1.071891319205128,5.072149626612028
1.1357333583431057,5.3074407681142555
1.20337784077759,5.550446087602623
1.2750512407130135,5.80112464897612
1.3509935211980273,6.059406422434486
1.4314589375234792,6.325190873343502
1.5167168884709232,6.598345729753687
1.6070528182616393,6.878705959869487
1.7027691722259004,7.166072990022608
1.8041864093920728,7.460214192180815
1.9116440753857027,7.760862667677347
2.0255019392306677,8.067717350654902
2.146141197858405,8.380443450688901
2.273965752357929,8.698673249225092
2.4094035602395256,9.022007258907507
2.552908068239518,9.350015748688653
2.704959730463136,9.68224063094128
2.8660676169482517,10.018197699796474
3.036771118035459,10.357379202806658
3.217641750250737,10.699256720983
3.409285069746813,11.043284325503691
3.612342699709432,11.388901973151528
3.827494478516313,11.735539097027045
4.05546073584083,12.082618344488832
4.297004704320842,12.429559410758685
4.55293507486695,12.775782914323901
4.824108704165371,13.12071425925615
5.111433483440168,13.463787429883794
5.415871378079474,13.804448664890236
5.738441648302396,14.14215996080495
6.080224261649424,14.476402358900344
6.442363508721374,14.806678974561494
6.82607183427239,15.132517734078743
7.232633896483537,15.453473790323251
7.663410868007459,15.769131595687295
8.119844993184014,16.079106617783587
8.603464416684504,16.38304669048655
9.115888299750823,16.680632999762295
9.658832241158704,16.971580710192825
10.234114021054538,17.25563924400208
10.843659686896109,17.53259222961382
11.489510001873098,17.802257141227123
12.17382727739662,18.06448465452808
12.898902612533094,18.31915774644435
13.667163564620074,18.56619056879918
14.481182276745345,18.805527126865922
15.343684089300131,19.037139794218312
16.25755666443795,19.26102769498715
17.225859653987875,19.477214983753854
18.251834943190442,19.685749051928045
19.33891750455232,19.886698687663003
20.49074689815848,20.0801522142545
21.711179456945054,20.266215629634655
23.00430119772919,20.445010767096885
24.37444150122222,20.616673494846946
25.826187606826775,20.78135196943417
27.36439997074672,20.939204955633194
28.994228538828782,21.09040022296555
30.72112998861759,21.235113026809003
32.5508859983506,21.373524679967208
34.489622604057594,21.505821218681433
36.54383070957258,21.632192165370945
38.72038781812557,21.752829388892657
41.026581058271944,21.867926061813133
43.470131581250264,21.977675713081066
46.059220411451086,22.08227137356618
48.80251583654434,22.18190481118025
51.70920242896761,22.27676585170277
54.78901179593945,22.367041780984135
58.05225516094902,22.452916823876933
61.50985788580504,22.534571695036423
65.17339604882427,22.61218321661928
69.0551352016233,22.68592399788117
73.168071434272,22.755962171715435
77.52597488629465,22.822461183274502
82.1434358491943,22.88557962596174
87.03591361485165,22.945471120264138
92.21978823334331,23.0022842311065
97.71241535346502,23.056162419637893
103.53218432956626,23.107244025604672
109.69857978923841,23.155662276714853
116.2322468679853,23.201545321652286
123.15506032928262,23.245016283650866
130.4901978014403,23.286193331786652
138.26221737646563,23.325189767385975
146.49713983072863,23.36211412317885
155.2225357427048,23.397070273047714
164.46761779946644,23.43015755043042
174.26333860096508,23.46147087363324
184.64249428955443,23.491100876493682
195.63983435170647,23.519134043004282
207.29217795953718,23.54565284466714
219.6385372416547,23.570735879495285
232.72024789604097,23.594458011711104
246.5811075822604,23.616890511314843
261.2675225563329,23.638101192807675
276.8286630392067,23.65815455245536
293.3166278390045,23.67711190356974
310.7866187782014,23.695031509367805
329.29712550971516,23.711968713041895
348.9101213406774,23.727976064740496
369.6912707195028,23.743103445217862
391.71014908092604,23.757398185962707
415.04047578504765,23.770905185662198
439.7603609302721,23.783667022897784
465.9525668664682,23.79572406500489
493.7047852839004,23.80711457305913
523.1099308056264,23.817874802978434
554.2664520663108,23.828039102753397
587.2786613189483,23.837640005837763
622.2570836730231,23.846708320747517
659.3188271333548,23.855273216931167
698.5879746785249,23.863362306985223
740.1959996915645,23.87100172529846
784.2822061337682,23.8782162032163
830.9941949353396,23.885029140822432
880.4883581643464,23.891462675439577
932.9304026284686,23.89753774695465
988.4959046625586,23.903274160075615
1047.3708979594508,23.908690643628884
1109.752496412072,23.913804907006483
1175.849554052158,23.918633693871993
1245.883364295008,23.923192833233564
1320.0884008314194,23.927497287990953
1398.7131026472387,23.93156120106184
1482.02070579886,23.93539793919063
1570.2901247293776,23.939020134540637
1663.8168860761307,23.942439724167887
1762.914118095948,23.945667987472163
1867.9135990207847,23.94871558171797
1979.1668678535573,23.951592575715072
2097.046401323235,23.954308481745315
2221.946860939524,23.956872285819312
2354.28641432242,23.95929247634343
2494.5081352303164,23.961577071274515
2643.0814869741084,23.963733643836655
2800.503894183631,23.965769346871262
2967.3024081888725,23.96769093588878
3144.0354715915,23.96950479088742
3331.294787934677,23.971216937001408
3529.70730273065,23.97283306403849
3739.9373024788015,23.974358544963764
3962.6886387014783,23.975798453384172
4198.707084443914,23.97715758008562
4448.782831127585,23.978440448672032
4713.753134116729,23.979651330353473
4994.50511585514,23.980794257928135
5291.978735958447,23.981873039000668
5607.1699382054585,23.98289126847748
5941.133984965039,23.983852340377396
6294.988990221887,23.98475945899429
6669.9196630301285,23.985615649446338
7067.181273927491,23.986423767644883
7488.10385759003,23.987186509714125
7934.096665797492,23.987906420891342
8406.652885618334,23.988585903935693
8907.354638610439,23.989227227072295
9437.878277775391,23.989832531496834
10000.0,23.990403838464616
